month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2022-04,ANG MO KIO,5 ROOM,260A,ANG MO KIO ST 21,28 TO 30,113,Improved,2018,95 years 02 months,1150000
2022-01,ANG MO KIO,5 ROOM,588B,ANG MO KIO ST 52,28 TO 30,120,DBSS,2011,88 years 08 months,1100000
2022-06,ANG MO KIO,5 ROOM,260A,ANG MO KIO ST 21,19 TO 21,113,Improved,2018,95 years 01 month,1100000
2022-08,ANG MO KIO,5 ROOM,316A,ANG MO KIO ST 31,04 TO 06,110,Improved,2006,82 years 09 months,798000
2022-06,ANG MO KIO,5 ROOM,259,ANG MO KIO AVE 2,10 TO 12,135,Model A,1982,58 years 11 months,785000
2022-01,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,01 TO 03,120,DBSS,2011,88 years 08 months,780000
2022-07,ANG MO KIO,5 ROOM,102,ANG MO KIO AVE 3,07 TO 09,127,Improved,1993,69 years 10 months,780000
2022-07,ANG MO KIO,5 ROOM,315B,ANG MO KIO ST 31,10 TO 12,110,Improved,2006,82 years 07 months,780000
2022-07,ANG MO KIO,5 ROOM,551,ANG MO KIO AVE 10,07 TO 09,118,Improved,1981,57 years 07 months,570000
2022-05,ANG MO KIO,5 ROOM,648,ANG MO KIO AVE 5,04 TO 06,121,Improved,1980,57 years 07 months,560000
2022-02,ANG MO KIO,5 ROOM,501,ANG MO KIO AVE 5,01 TO 03,121,Improved,1981,58 years,530000
2022-07,ANG MO KIO,4 ROOM,455A,ANG MO KIO ST 44,31 TO 33,93,Model A,2018,94 years 09 months,938000
2022-05,ANG MO KIO,4 ROOM,260A,ANG MO KIO ST 21,19 TO 21,92,Model A,2018,95 years 02 months,918000
2022-06,ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,31 TO 33,93,Model A,2018,94 years 09 months,915000
2022-06,ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,28 TO 30,93,Model A,2018,94 years 10 months,900000
2022-07,ANG MO KIO,4 ROOM,260A,ANG MO KIO ST 21,13 TO 15,92,Model A,2018,95 years,850000
2022-08,ANG MO KIO,4 ROOM,260B,ANG MO KIO ST 21,13 TO 15,93,Model A,2018,94 years 11 months,850000
2022-07,ANG MO KIO,4 ROOM,260B,ANG MO KIO ST 21,10 TO 12,93,Model A,2018,95 years,848000
2022-05,ANG MO KIO,4 ROOM,225,ANG MO KIO AVE 1,01 TO 03,92,New Generation,1978,54 years 08 months,400000
2022-02,ANG MO KIO,4 ROOM,233,ANG MO KIO AVE 3,04 TO 06,92,New Generation,1977,54 years 08 months,380000
2022-02,ANG MO KIO,4 ROOM,202,ANG MO KIO AVE 3,04 TO 06,81,New Generation,1977,54 years 02 months,355000
2022-06,ANG MO KIO,3 ROOM,455C,ANG MO KIO ST 44,16 TO 18,68,Model A,2018,94 years 09 months,630000
2022-03,ANG MO KIO,3 ROOM,455A,ANG MO KIO ST 44,28 TO 30,68,Model A,2018,95 years 01 month,608000
2022-07,ANG MO KIO,3 ROOM,455A,ANG MO KIO ST 44,19 TO 21,68,Model A,2018,94 years 09 months,608000
2022-06,ANG MO KIO,3 ROOM,455C,ANG MO KIO ST 44,22 TO 24,68,Model A,2018,94 years 10 months,590000
2022-08,ANG MO KIO,3 ROOM,502,ANG MO KIO AVE 5,10 TO 12,82,New Generation,1981,57 years 06 months,428000
2022-03,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,04 TO 06,88,New Generation,1978,55 years 01 month,425000
2022-06,ANG MO KIO,3 ROOM,456,ANG MO KIO AVE 10,07 TO 09,89,New Generation,1980,56 years 08 months,425000
2022-08,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1979,56 years 02 months,425000
2022-02,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1980,57 years 01 month,300000
2022-05,ANG MO KIO,3 ROOM,629,ANG MO KIO AVE 4,04 TO 06,67,New Generation,1981,58 years 05 months,300000
2022-03,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,10 TO 12,67,New Generation,1980,57 years,280000
2022-05,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,10 TO 12,45,Improved,1986,62 years 08 months,305000
2022-08,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,04 TO 06,45,Improved,1986,62 years 06 months,286000
2022-04,ANG MO KIO,2 ROOM,116,ANG MO KIO AVE 4,10 TO 12,44,Improved,1978,55 years 01 month,282000
2022-02,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44,Improved,1979,56 years 04 months,235000
2022-02,ANG MO KIO,2 ROOM,116,ANG MO KIO AVE 4,04 TO 06,44,Improved,1978,55 years 04 months,230000
2022-08,ANG MO KIO,2 ROOM,116,ANG MO KIO AVE 4,01 TO 03,44,Improved,1978,54 years 10 months,218888
